Note1,Note2,Note3,Note4,Note5,Note6,Note7
0.07458599,0.09169007,0.004815871,0.09963393,0.01106299,0.06537553,0.07403076
0.27390325,0.18716805,0.27018124,0.15223378,0.1267945,0.24150383,0.20200017
0.6394622,1.3439909,1.5982854,1.1759667,1.4237995,1.3333008,0.6971352
5.752985,4.2596793,1.3992652,5.9642286,3.6852493,8.192156,4.627987
19.495544,8.763019,1.4301705,13.8782625,5.9105306,18.752834,15.236279
42.14717,13.374691,3.3873985,21.62394,5.29083,27.609632,23.868265
69.224495,13.974286,4.9953847,25.941084,-0.6953239,31.517853,22.794561
91.63788,11.075183,5.39098,23.95008,-8.681907,28.176908,12.663126
104.233055,7.6314845,3.5661547,17.993103,-13.969379,19.489603,1.2511108
107.36612,6.2312,-1.4354491,15.833916,-10.899805,9.001103,-0.9070791
109.179756,4.6122785,-3.7647774,15.190794,-11.078593,7.5856085,0.091016635
111.50182,3.276584,-3.7769182,13.761547,-12.312062,8.3078985,-0.724095
112.73251,3.765981,-3.4681268,12.336533,-12.191033,8.279282,-1.4331753
112.76728,4.8976936,-3.3939981,11.011624,-10.91482,7.941399,-1.6573822
109.43742,8.474792,-3.13963,9.839356,-9.00387,6.440414,1.2701576
96.78276,16.465357,-3.7130487,11.20102,-9.536045,9.293814,9.900502
72.086975,24.773737,-2.8208432,12.364437,-9.058169,12.056944,18.654701
42.425907,27.17682,-1.9297293,12.991492,-6.8853164,12.46952,20.984798
25.93724,19.594927,0.51749516,10.987418,-4.750665,11.495633,12.189436
20.934301,9.689559,2.4038806,7.8685756,-1.0572422,7.8513803,0.6157648
16.131607,7.305232,2.7815301,10.012901,5.7132235,-0.34511998,-0.38344812
19.150919,7.5109177,3.4837492,12.911438,7.4861712,0.70251137,2.851004
28.933678,7.163181,3.0200686,14.667007,5.526334,3.8709712,4.149807
41.378105,4.1307216,0.9684724,15.18243,2.303958,5.8232803,2.0699909
49.69469,0.9563515,-0.8029559,14.560361,2.6888638,4.343661,-1.2953798
51.899986,-0.5787027,-0.32327685,13.058521,4.654592,1.3372755,-3.3388493
50.977562,-1.7032061,-0.9329595,12.165667,3.8522856,0.4183387,-3.3160448
49.904297,-2.4015315,-0.20522788,10.0857525,2.9688876,0.23529018,-3.720044
49.342964,-2.0791018,-0.13856512,8.347087,3.7979238,-0.8661229,-4.7539334
48.988846,-1.1562825,0.48027322,6.631135,5.3858624,-2.1458073,-4.78798
50.14248,-1.5206071,0.9748257,5.483684,4.8353987,-1.0916749,-5.178034
52.19007,-2.7922084,1.6567527,4.3069925,2.953555,2.440745,-4.634043
54.885624,-2.6446722,1.1912351,3.9311516,-0.44469428,6.3899126,-0.13203941
59.43979,-3.0635235,-0.40479717,4.6914735,-5.75562,10.428511,4.0022054
63.345074,-3.5095298,-1.6656343,6.220963,-8.220124,11.004287,4.6573033
65.45919,-3.497096,-2.0071955,7.1544886,-8.492925,9.08927,2.7100317
65.81979,-1.7214177,-1.2519937,7.491046,-8.8043785,8.864228,0.060025163
59.631565,2.9603143,1.074356,10.9622345,-5.883133,15.962564,7.486704
50.313557,5.8103304,7.6577597,13.072946,2.8194406,22.079014,23.928883
54.13215,3.2479372,14.328011,14.688466,7.5753617,26.718187,31.59377
76.52913,3.615242,14.426512,20.073563,-0.2639585,30.313412,22.850882
96.89806,3.3007388,9.6574955,24.013323,-11.71534,30.129574,7.1139426
105.40355,3.8583462,1.4596853,28.578262,-13.643589,21.113594,-2.9564183
106.94803,5.7046146,-3.5842168,28.680544,-11.08289,10.901604,-2.6589854
111.13375,4.8456473,-4.3119884,25.048359,-12.944837,9.85103,-6.024805
113.02366,3.3532183,-5.307229,22.658968,-14.656238,11.8158,-6.1574116
113.19219,4.0457106,-4.001562,19.723633,-12.722062,10.851668,-6.493726
113.28981,4.9547853,-4.6493745,18.107443,-12.108459,10.203616,-5.702108
111.66452,8.215049,-3.7703555,15.791559,-11.49755,8.164647,-3.6764119
100.870575,18.364979,-2.0088053,12.70221,-8.2599,8.6539545,3.116136
76.32913,32.85444,1.5683767,6.9603934,0.62930995,8.528815,11.458317
50.16409,40.737663,3.3827498,4.5046277,9.009271,6.5584006,16.198324
54.931652,33.297333,1.4973516,7.071874,4.0609536,11.14552,16.852541
78.692444,19.885176,-1.5050772,9.964594,-6.546132,16.887007,11.965268
91.44158,10.993324,-4.7406015,13.104195,-13.291683,15.30173,8.29375
85.98281,13.457597,-4.3817286,17.401112,-18.7423,18.362215,9.663892
74.02481,19.313875,-3.0068567,18.398035,-19.333416,21.877605,7.7917314
71.629776,18.47018,-0.62741685,14.289706,-14.902505,19.257423,0.35425082
74.13166,12.638245,0.06588964,9.018942,-10.129095,13.106946,3.938156
73.204506,12.339939,1.0683371,5.9795856,-6.765281,6.1717176,6.7575445
60.41555,21.079554,4.4457207,7.633095,-2.1465175,3.8725967,14.154716
42.737076,26.755903,5.2837353,11.456285,1.3310051,5.961119,19.549652
28.732553,25.443968,3.9520054,12.998926,2.3655062,7.6243234,18.040714
36.032063,16.702188,0.70795524,12.361913,-3.7499943,10.571184,11.270067
50.53654,8.121274,-1.7611431,10.093486,-10.83607,11.669683,2.3752594
53.574867,11.254477,0.30271927,11.008166,-12.600894,13.067973,-2.0133977
56.748234,19.201008,2.6697884,13.407724,-9.542084,16.407404,-6.214708
68.10608,20.739454,3.21918,14.642372,-6.1422253,17.470163,-0.7457085
84.4233,14.43042,2.076119,13.552062,-6.1353064,16.327963,-0.21561879
96.199936,5.9765196,-0.13732767,10.494713,-7.6627216,12.4337015,-1.5488833
101.00677,1.2179824,-2.7728524,8.024305,-9.92584,8.767216,-2.4514334
101.1099,0.8447849,-2.809003,8.27925,-10.445573,8.226933,-1.1163784
96.291565,4.701523,-0.4135598,11.541108,-8.249371,9.239224,2.8662133
83.68707,12.517498,2.6078985,16.97764,-2.484861,7.175008,13.452983
